resolution,score
0.1,0.9416175986238847
0.2,0.9448087313976734
0.30000000000000004,0.946635255788653
0.4,0.9317697717354229
0.5,0.9289759894780197
0.6000000000000001,0.9328094558987053
0.7000000000000001,0.9393189903867784
0.8,0.9419169682821208
0.9,0.9469610040898511
1.0,0.9486917840842459
0.9,0.9469610040898511
0.91,0.9447267913634699
0.92,0.9453850304756871
0.93,0.9452044931382556
0.9400000000000001,0.944847571042823
0.9500000000000001,0.9440524172614648
0.9600000000000001,0.9439497456713367
0.9700000000000001,0.9493443174921015
0.9800000000000001,0.9463656512704762
0.9900000000000001,0.9453236177630464
1.0,0.9486917840842459
