ts,rss_mb,cpu_percent,gpu_index,gpu_util,gpu_mem_used_mb
1758584825.0341778,7.077888,0.0,0,0,601.358336
1758584826.040238,132.923392,41.7,0,0,601.358336
1758584827.0414655,235.778048,51.9,0,0,601.358336
1758584828.0427353,543.358976,69.9,0,0,601.358336
1758584829.0441008,611.77856,73.9,0,0,601.358336
1758584830.0454016,682.950656,67.9,0,0,601.358336
1758584831.0467262,699.465728,94.9,0,0,601.358336
1758584832.0473428,710.475776,96.9,0,0,601.358336
1758584833.0483444,1032.51968,89.9,0,0,601.358336
1758584834.0494256,1094.647808,68.9,0,0,601.358336
1758584835.0505307,1153.86368,54.9,0,0,601.358336
1758584836.0516744,1236.197376,45.9,0,0,601.358336
1758584837.0528464,1359.777792,28.0,0,0,601.358336
1758584838.054107,1483.534336,74.9,0,0,621.477888
1758584839.0673926,1704.476672,43.4,0,0,1054.539776
1758584840.0689237,2117.14048,94.9,0,0,1054.539776
1758584841.0694256,2466.717696,86.0,0,0,1054.539776
1758584842.0707932,2839.601152,86.9,0,0,1054.539776
1758584843.0721233,3247.468544,92.9,0,4,1381.695488
1758584844.073427,3512.774656,82.9,0,26,1429.929984
1758584845.074685,3721.859072,99.9,0,65,1390.084096
1758584846.076043,4427.206656,96.9,0,0,1186.660352
1758584847.0773811,4902.68672,99.9,0,0,1186.660352
1758584848.0786424,4903.079936,98.9,0,0,1186.660352
1758584849.0799472,4903.079936,99.9,0,0,1186.660352
1758584850.081118,4903.473152,99.9,0,0,1186.660352
1758584851.0823576,4903.473152,98.9,0,0,1186.660352
1758584852.0835223,4903.473152,99.9,0,0,1186.660352
1758584853.0847073,4903.866368,99.9,0,0,1186.660352
1758584854.0859008,4903.866368,100.9,0,0,1186.660352
1758584855.0870357,4904.259584,98.9,0,0,1186.660352
1758584856.0882244,4904.6528,99.9,0,0,1186.660352
1758584857.0894425,4904.6528,99.9,0,0,1186.660352
1758584858.0906744,4904.6528,99.9,0,0,1186.660352
1758584859.091895,4905.046016,98.9,0,0,1186.660352
1758584860.093025,4905.046016,99.9,0,0,1186.660352
1758584861.0942388,4905.046016,99.9,0,0,1186.660352
1758584862.0955582,4905.832448,26.0,0,0,1186.660352
1758584863.0968962,2626.367488,83.9,0,0,1186.660352
1758584864.0982938,0.0,99.9,0,0,1184.5632
